original_name,artist_guess,title_guess,assigned_genre,confidence,new_path,reasons
@coldplay - Fix You (Lyrics) [bzRMneypG04].webm,@coldplay,fix you,alternative,10,musicup/alternative/@coldplay - Fix You (Lyrics) [bzRMneypG04].webm,artist:coldplay->alternative
A Better Man [a2WHlrS-wrE].webm,Unknown,a better man,unsorted,0.0,musicup/unsorted/A Better Man [a2WHlrS-wrE].webm,no strong match
A Little More Country Than That [qDcV9qiqCiM].webm,Unknown,a little more country than that,country,6,musicup/country/A Little More Country Than That [qDcV9qiqCiM].webm,kw:country+6->country
A Thousand Years - Christina Perri -Official Audio- [2sQ7dBqLdeo].webm,a thousand years,christina perri -official audio,pop,14.6,musicup/pop/A Thousand Years - Christina Perri -Official Audio- [2sQ7dBqLdeo].webm,artist:christina perri->pop | kw:official audio+1->pop | kw:a thousand years+4->pop
Ain't No Thang [dt2bxeaoFxo].webm,Unknown,ain't no thang,unsorted,0.0,musicup/unsorted/Ain't No Thang [dt2bxeaoFxo].webm,no strong match
Alabama - Born Country (Official Audio) [EzeaaIfj1Us].webm,alabama,born country,country,6,musicup/country/Alabama - Born Country (Official Audio) [EzeaaIfj1Us].webm,kw:country+6->country
Alabama - High Cotton (Official Video) [IhsbhbnKoR0].webm,alabama,high cotton,unsorted,0.0,musicup/unsorted/Alabama - High Cotton (Official Video) [IhsbhbnKoR0].webm,no strong match
Alabama - Roll On (Eighteen Wheeler) (Official Audio) [eZ9Jel6ePQc].webm,alabama,roll on (eighteen wheeler),unsorted,0.0,musicup/unsorted/Alabama - Roll On (Eighteen Wheeler) (Official Audio) [eZ9Jel6ePQc].webm,no strong match
Alabama - Song of The South (Official Audio) [bKiiOPalIy4].webm,alabama,song of the south,unsorted,0.0,musicup/unsorted/Alabama - Song of The South (Official Audio) [bKiiOPalIy4].webm,no strong match
Alabama - Tennessee River (Official Audio) [DsrMo198l-o].webm,alabama,tennessee river,unsorted,0.0,musicup/unsorted/Alabama - Tennessee River (Official Audio) [DsrMo198l-o].webm,no strong match
Alan Jackson - Drive (For Daddy Gene) (Official Music Video) [dQe3DKDQRRs].webm,alan jackson,drive (for daddy gene),country,10,musicup/country/Alan Jackson - Drive (For Daddy Gene) (Official Music Video) [dQe3DKDQRRs].webm,artist:alan jackson->country
Alan Jackson - It Must Be Love (Official Audio) [F-aogt1CsZc].webm,alan jackson,it must be love,country,10,musicup/country/Alan Jackson - It Must Be Love (Official Audio) [F-aogt1CsZc].webm,artist:alan jackson->country
Alan Jackson - Little Bitty (Official Music Video) [Eo2OIUpWznY].webm,alan jackson,little bitty,country,10,musicup/country/Alan Jackson - Little Bitty (Official Music Video) [Eo2OIUpWznY].webm,artist:alan jackson->country
Alan Jackson - Pop A Top (Official Music Video) [pm-zduI7zcE].webm,alan jackson,pop a top,country,10,musicup/country/Alan Jackson - Pop A Top (Official Music Video) [pm-zduI7zcE].webm,artist:alan jackson->country
"Alan Jackson - Tall, Tall Trees (Official Music Video) [Ifbmjmlfhp4].webm",alan jackson,"tall, tall trees",country,10,"musicup/country/Alan Jackson - Tall, Tall Trees (Official Music Video) [Ifbmjmlfhp4].webm",artist:alan jackson->country
Alan Jackson Remember When Audio [eO_dUkQKZhg].webm,Unknown,alan jackson remember when audio,country,9.8,musicup/country/Alan Jackson Remember When Audio [eO_dUkQKZhg].webm,artist:alan jackson->country
Alex Warren - Ordinary (Official Video) [u2ah9tWTkmk].webm,alex warren,ordinary,unsorted,0.0,musicup/unsorted/Alex Warren - Ordinary (Official Video) [u2ah9tWTkmk].webm,no strong match
Alibis [R720Cr0EDvA].webm,Unknown,alibis,unsorted,0.0,musicup/unsorted/Alibis [R720Cr0EDvA].webm,no strong match
All My Ex's Live In Texas [9qumxVP8PrE].webm,Unknown,all my ex's live in texas,unsorted,0.0,musicup/unsorted/All My Ex's Live In Texas [9qumxVP8PrE].webm,no strong match
Amarillo By Morning [FbVISS-lEAc].webm,Unknown,amarillo by morning,unsorted,0.0,musicup/unsorted/Amarillo By Morning [FbVISS-lEAc].webm,no strong match
American Authors - Best Day Of My Life (Audio) [wutzv7JjX7k].webm,american authors,best day of my life,pop,10,musicup/pop/American Authors - Best Day Of My Life (Audio) [wutzv7JjX7k].webm,artist:american authors->pop
Apologize [8OiXinljqhw].webm,Unknown,apologize,unsorted,0.0,musicup/unsorted/Apologize [8OiXinljqhw].webm,no strong match
"Artists Of Then, Now & Forever - Forever Country [s9gAXwYZtfk].webm","artists of then, now & forever",forever country,country,46,"musicup/country/Artists Of Then, Now & Forever - Forever Country [s9gAXwYZtfk].webm","artist:artists of then, now & forever->country | artist:artists of then, now & forever - forever country->country | artist:forever country->country | kw:country+6->country | kw:forever country+10->country"
Avicii - Wake Me Up (Official Lyric Video) [5y_KJAg8bHI].webm,avicii,wake me up,electronic,10,musicup/electronic/Avicii - Wake Me Up (Official Lyric Video) [5y_KJAg8bHI].webm,artist:avicii->electronic
B.o.B - Nothin' On You (feat. Bruno Mars) [Official Video] [8PTDv_szmL0].webm,b.o.b,nothin' on you (feat. bruno mars),hiphop,5,musicup/hiphop/B.o.B - Nothin' On You (feat. Bruno Mars) [Official Video] [8PTDv_szmL0].webm,artist:bruno mars->pop | artist:b.o.b->hiphop | kw:feat.+1->hiphop | kw:nothin' on you+4->hiphop
Baby Blue [dfOaLpIrC20].webm,Unknown,baby blue,unsorted,0.0,musicup/unsorted/Baby Blue [dfOaLpIrC20].webm,no strong match
Baby Girl [ccKWh0jZR5M].webm,Unknown,baby girl,unsorted,0.0,musicup/unsorted/Baby Girl [ccKWh0jZR5M].webm,no strong match
Baby's Got Her Blue Jeans On [I2OaeJQzYTs].webm,Unknown,baby's got her blue jeans on,unsorted,0.0,musicup/unsorted/Baby's Got Her Blue Jeans On [I2OaeJQzYTs].webm,no strong match
Back Where I Come From (New Recording with Kenny's Band) [sXw0X0R6pBk].webm,Unknown,back where i come from (new recording with kenny's band),unsorted,0.0,musicup/unsorted/Back Where I Come From (New Recording with Kenny's Band) [sXw0X0R6pBk].webm,no strong match
Backstreet Boys - I Want It That Way (Official Audio) [z6Wq59qrdB0].webm,backstreet boys,i want it that way,pop,10,musicup/pop/Backstreet Boys - I Want It That Way (Official Audio) [z6Wq59qrdB0].webm,artist:backstreet boys->pop
Be My Baby Tonight [R-U3Zo-GIpw].webm,Unknown,be my baby tonight,unsorted,0.0,musicup/unsorted/Be My Baby Tonight [R-U3Zo-GIpw].webm,no strong match
Believe [-mZAX4Td3-4].webm,Unknown,believe,unsorted,0.0,musicup/unsorted/Believe [-mZAX4Td3-4].webm,no strong match
Billy Currington - I Got A Feelin' (Official Music Video) [xFHBzVZMXk8].webm,billy currington,i got a feelin',unsorted,0.0,musicup/unsorted/Billy Currington - I Got A Feelin' (Official Music Video) [xFHBzVZMXk8].webm,no strong match
Billy Currington - People Are Crazy (Official Music Video) [PKpQRjj_WbU].webm,billy currington,people are crazy,unsorted,0.0,musicup/unsorted/Billy Currington - People Are Crazy (Official Music Video) [PKpQRjj_WbU].webm,no strong match
Billy Currington-Must Be Doin Something Right Full Song [CQaJGV8ZGzo].webm,Unknown,billy currington-must be doin something right full song,unsorted,0.0,musicup/unsorted/Billy Currington-Must Be Doin Something Right Full Song [CQaJGV8ZGzo].webm,no strong match
Billy Ray Cyrus - Achy Breaky Heart [rU3PMOIX7xw].webm,billy ray cyrus,achy breaky heart,unsorted,0.0,musicup/unsorted/Billy Ray Cyrus - Achy Breaky Heart [rU3PMOIX7xw].webm,no strong match
Blake Shelton - Austin (Official Audio) [eh03igeb-HM].webm,blake shelton,austin,country,10,musicup/country/Blake Shelton - Austin (Official Audio) [eh03igeb-HM].webm,artist:blake shelton->country
Blake Shelton - Honey Bee (Official Audio) [IwJ9RJgsmOQ].webm,blake shelton,honey bee,country,10,musicup/country/Blake Shelton - Honey Bee (Official Audio) [IwJ9RJgsmOQ].webm,artist:blake shelton->country
Blake Shelton - Ol' Red (Official Music Video) [asxrMSVrJ08].webm,blake shelton,ol' red,country,10,musicup/country/Blake Shelton - Ol' Red (Official Music Video) [asxrMSVrJ08].webm,artist:blake shelton->country
